,targetId,hasSafetyEvent,maxClinicalTrialPhase,tissueSpecificity,tissueDistribution,uniqueTherapeuticAreas,uniqueDiseases,maxEffectiveSampleSize,earliestPublicationDate,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount
1318,ENSG00000132964,0,0.5,-1.0,0.0,1,1,294387.2978738704,2021-09-30,CDK8,0.35399997,2.9169,1.1465,9
1319,ENSG00000133019,1,1.0,0.5,0.0,2,2,323648.5577791949,2019-02-25,CHRM3,0.58000004,2.6775,0.51305,3
1320,ENSG00000134419,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPS15A,0.051999986,1.565,-0.4385,18
1321,ENSG00000136160,1,1.0,0.5,0.0,1,1,82912.80518893801,2019-05-14,EDNRB,0.41500002,1.8888,-0.093661,3
1322,ENSG00000136244,1,1.0,0.5,0.0,8,19,562534.7696387965,2015-01-20,IL6,0.11900002,-0.2423,-0.037528,11
1323,ENSG00000136634,1,0.5,0.5,0.0,9,19,574782.4268116049,2009-05-10,IL10,0.28899997,1.4128,-0.12417,6
1324,ENSG00000136960,0,0.75,1.0,-1.0,0,0,0.01,2025-01-01,ENPP2,0.361,1.6684,0.23029,1
1325,ENSG00000137275,0,0.5,-1.0,0.0,0,0,0.01,2025-01-01,RIPK1,0.39999998,1.6794,0.72279,23
1326,ENSG00000137673,1,1.0,0.5,0.0,2,3,521818.7070055739,2013-04-01,MMP7,-0.09500003,-0.48441,-0.6118,5
1327,ENSG00000138039,0,1.0,0.5,0.5,3,3,433862.5685735124,2010-12-12,LHCGR,-0.055999994,-0.025551,-0.32406,2
1328,ENSG00000140990,0,1.0,0.75,-1.0,0,0,0.01,2025-01-01,NDUFB10,-0.57000005,-2.0234,-1.4218,2
1329,ENSG00000142168,0,1.0,0.5,-1.0,2,2,95413.07358079177,2021-12-06,SOD1,-0.51400006,1.2237,-0.30519,3
1330,ENSG00000142534,0,1.0,-1.0,-1.0,1,1,464892.4593283075,2023-01-18,RPS11,0.855,2.3459,-1.7489,18
1331,ENSG00000142541,0,1.0,-1.0,-1.0,1,1,144712.0807038357,2022-10-12,RPL13A,0.697,1.5593,-0.5872,13
1332,ENSG00000142627,1,1.0,0.5,0.0,0,0,0.01,2025-01-01,EPHA2,0.348,2.667,0.21391,12
1333,ENSG00000142676,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPL11,0.658,1.9033,-1.4314,13
1334,ENSG00000145839,0,0.5,,,0,0,0.01,2025-01-01,IL9,-0.783,0.41302,0.046836,1
1335,ENSG00000145864,0,1.0,1.0,0.5,1,1,1778690.168860174,2022-07-14,GABRB2,0.574,4.0985,-0.026682,2
1336,ENSG00000145888,0,1.0,1.0,1.0,1,1,765591.3646788632,2020-06-15,GLRA1,0.024999976,2.4146,1.0141,1
